,"gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score",min,median,max,mean/std
212,"female,group C,high school,,none,42.0,62.0,60.0","female,group C,high school,,none,42.0,62.0,60.0",,,nan/nan
213,"male,group C,associate's degree,free/reduced,completed,60.0,,56.0","male,group C,associate's degree,free/reduced,completed,60.0,,56.0",,,nan/nan
214,"male,group E,high school,standard,completed,87.0,91.0,81.0","male,group E,high school,standard,completed,87.0,91.0,81.0",,,nan/nan
215,"male,group B,some high school,standard,completed,84.0,83.0,","male,group B,some high school,standard,completed,84.0,83.0,",,,nan/nan
216,"female,group E,associate's degree,free/reduced,completed,83.0,86.0,88.0","female,group E,associate's degree,free/reduced,completed,83.0,86.0,88.0",,,nan/nan
217,"female,,high school,free/reduced,none,34.0,42.0,39.0","female,,high school,free/reduced,none,34.0,42.0,39.0",,,nan/nan
218,"male,group B,high school,free/reduced,none,66.0,77.0,70.0","male,group B,high school,free/reduced,none,66.0,77.0,70.0",,,nan/nan
219,",group B,some high school,standard,completed,61.0,56.0,56.0",",group B,some high school,standard,completed,61.0,56.0,56.0",,,nan/nan
220,"female,group D,high school,standard,completed,56.0,68.0,74.0","female,group D,high school,standard,completed,56.0,68.0,74.0",,,nan/nan
221,"male,group B,associate's degree,standard,none,87.0,85.0,73.0","male,group B,associate's degree,standard,none,87.0,85.0,73.0",,,nan/nan
222,"female,group C,some high school,free/reduced,none,55.0,65.0,","female,group C,some high school,free/reduced,none,55.0,65.0,",,,nan/nan
223,"male,group D,some high school,standard,none,86.0,80.0,75.0","male,group D,some high school,standard,none,86.0,80.0,75.0",,,nan/nan
224,",group B,associate's degree,standard,completed,52.0,66.0,73.0",",group B,associate's degree,standard,completed,52.0,66.0,73.0",,,nan/nan
225,"female,group E,master's degree,free/reduced,none,45.0,56.0,54.0","female,group E,master's degree,free/reduced,none,45.0,56.0,54.0",,,nan/nan
226,"female,group C,some college,standard,none,72.0,72.0,71.0","female,group C,some college,standard,none,72.0,72.0,71.0",,,nan/nan
227,"male,group D,high school,standard,none,57.0,50.0,54.0","male,group D,high school,standard,none,57.0,50.0,54.0",,,nan/nan
228,"male,group A,some high school,free/reduced,none,68.0,72.0,64.0","male,group A,some high school,free/reduced,none,68.0,72.0,64.0",,,nan/nan
229,"female,group C,some college,standard,completed,88.0,95.0,94.0","female,group C,some college,standard,completed,88.0,95.0,94.0",,,nan/nan
230,",group D,some college,standard,none,76.0,64.0,66.0",",group D,some college,standard,none,76.0,64.0,66.0",,,nan/nan
231,"male,group C,associate's degree,standard,none,46.0,43.0,42.0","male,group C,associate's degree,standard,none,46.0,43.0,42.0",,,nan/nan
232,"female,group B,bachelor's degree,,none,67.0,86.0,83.0","female,group B,bachelor's degree,,none,67.0,86.0,83.0",,,nan/nan
233,"male,group E,some high school,standard,none,92.0,87.0,78.0","male,group E,some high school,standard,none,92.0,87.0,78.0",,,nan/nan
234,"male,group C,bachelor's degree,standard,completed,83.0,82.0,84.0","male,group C,bachelor's degree,standard,completed,83.0,82.0,84.0",,,nan/nan
235,"male,group D,associate's degree,standard,none,80.0,75.0,77.0","male,group D,associate's degree,standard,none,80.0,75.0,77.0",,,nan/nan
236,",,bachelor's degree,free/reduced,none,63.0,66.0,67.0",",,bachelor's degree,free/reduced,none,63.0,66.0,67.0",,,nan/nan
237,"female,group D,some high school,standard,completed,64.0,60.0,74.0","female,group D,some high school,standard,completed,64.0,60.0,74.0",,,nan/nan
238,"male,group B,some college,standard,none,54.0,52.0,51.0","male,group B,some college,standard,none,54.0,52.0,51.0",,,nan/nan
239,"male,,associate's degree,standard,none,84.0,80.0,80.0","male,,associate's degree,standard,none,84.0,80.0,80.0",,,nan/nan
240,"male,group D,high school,free/reduced,completed,73.0,68.0,66.0","male,group D,high school,free/reduced,completed,73.0,68.0,66.0",,,nan/nan
241,"female,group E,bachelor's degree,standard,none,80.0,,83.0","female,group E,bachelor's degree,standard,none,80.0,,83.0",,,nan/nan
242,"female,group D,high school,standard,none,56.0,,55.0","female,group D,high school,standard,none,56.0,,55.0",,,nan/nan
243,"male,group E,some college,standard,none,59.0,51.0,43.0","male,group E,some college,standard,none,59.0,51.0,43.0",,,nan/nan
244,"male,group D,,standard,none,75.0,74.0,69.0","male,group D,,standard,none,75.0,74.0,69.0",,,nan/nan
245,"male,group C,associate's degree,standard,none,85.0,76.0,71.0","male,group C,associate's degree,standard,none,85.0,76.0,71.0",,,nan/nan
246,"male,group E,associate's degree,standard,none,89.0,76.0,74.0","male,group E,associate's degree,standard,none,89.0,76.0,74.0",,,nan/nan
247,"female,group B,high school,standard,,58.0,70.0,68.0","female,group B,high school,standard,,58.0,70.0,68.0",,,nan/nan
248,"female,group B,high school,standard,none,65.0,64.0,62.0","female,group B,high school,standard,none,65.0,64.0,62.0",,,nan/nan
249,"male,group C,high school,standard,none,68.0,60.0,53.0","male,group C,high school,standard,none,68.0,60.0,53.0",,,nan/nan
250,"male,group A,some high school,standard,completed,47.0,49.0,49.0","male,group A,some high school,standard,completed,47.0,49.0,49.0",,,nan/nan
251,"female,group D,some college,free/reduced,none,71.0,83.0,83.0","female,group D,some college,free/reduced,none,71.0,83.0,83.0",,,nan/nan
252,"female,group B,some high school,standard,completed,60.0,70.0,70.0","female,group B,some high school,standard,completed,60.0,70.0,70.0",,,nan/nan
253,"male,group D,master's degree,standard,none,80.0,80.0,72.0","male,group D,master's degree,standard,none,80.0,80.0,72.0",,,nan/nan
254,"male,group D,high school,standard,none,54.0,52.0,52.0","male,group D,high school,standard,none,54.0,52.0,52.0",,,nan/nan
255,"female,group E,some college,standard,none,62.0,73.0,70.0","female,group E,some college,standard,none,62.0,73.0,70.0",,,nan/nan
256,"female,group C,associate's degree,free/reduced,none,64.0,,68.0","female,group C,associate's degree,free/reduced,none,64.0,,68.0",,,nan/nan
257,",group C,associate's degree,standard,completed,78.0,77.0,77.0",",group C,associate's degree,standard,completed,78.0,77.0,77.0",,,nan/nan
258,"female,group B,some college,standard,none,70.0,75.0,78.0","female,group B,some college,standard,none,70.0,75.0,78.0",,,nan/nan
259,"female,group C,,free/reduced,completed,65.0,81.0,81.0","female,group C,,free/reduced,completed,65.0,81.0,81.0",,,nan/nan
260,"female,group C,some high school,free/reduced,completed,64.0,79.0,77.0","female,group C,some high school,free/reduced,completed,64.0,79.0,77.0",,,nan/nan
261,"male,group C,some college,standard,completed,79.0,79.0,78.0","male,group C,some college,standard,completed,79.0,79.0,78.0",,,nan/nan
262,"female,group C,some high school,free/reduced,none,44.0,,51.0","female,group C,some high school,free/reduced,none,44.0,,51.0",,,nan/nan
263,"female,group E,high school,standard,none,99.0,,90.0","female,group E,high school,standard,none,99.0,,90.0",,,nan/nan
264,"male,group D,high school,,none,76.0,73.0,68.0","male,group D,high school,,none,76.0,73.0,68.0",,,nan/nan
265,"male,,some high school,free/reduced,none,59.0,42.0,41.0","male,,some high school,free/reduced,none,59.0,42.0,41.0",,,nan/nan
266,"female,group C,bachelor's degree,standard,none,63.0,75.0,81.0","female,group C,bachelor's degree,standard,none,63.0,75.0,81.0",,,nan/nan
267,"female,group D,high school,standard,none,69.0,72.0,77.0","female,group D,high school,standard,none,69.0,72.0,77.0",,,nan/nan
268,"female,group D,associate's degree,standard,completed,88.0,92.0,95.0","female,group D,associate's degree,standard,completed,88.0,92.0,95.0",,,nan/nan
269,"female,group E,some college,free/reduced,none,71.0,76.0,","female,group E,some college,free/reduced,none,71.0,76.0,",,,nan/nan
270,"male,group C,bachelor's degree,standard,none,69.0,63.0,61.0","male,group C,bachelor's degree,standard,none,69.0,63.0,61.0",,,nan/nan
271,"male,group C,some college,standard,none,58.0,49.0,42.0","male,group C,some college,standard,none,58.0,49.0,42.0",,,nan/nan
272,"female,group D,associate's degree,free/reduced,none,47.0,53.0,58.0","female,group D,associate's degree,free/reduced,none,47.0,53.0,58.0",,,nan/nan
273,"female,group D,some college,standard,none,65.0,70.0,71.0","female,group D,some college,standard,none,65.0,70.0,71.0",,,nan/nan
274,"male,group B,some college,standard,completed,88.0,85.0,76.0","male,group B,some college,standard,completed,88.0,85.0,76.0",,,nan/nan
275,"male,,bachelor's degree,standard,none,83.0,78.0,73.0","male,,bachelor's degree,standard,none,83.0,78.0,73.0",,,nan/nan
276,"female,group C,some high school,standard,completed,85.0,92.0,93.0","female,group C,some high school,standard,completed,85.0,92.0,93.0",,,nan/nan
277,"female,group E,high school,standard,completed,59.0,63.0,75.0","female,group E,high school,standard,completed,59.0,63.0,75.0",,,nan/nan
278,"female,group C,some high school,free/reduced,none,65.0,86.0,80.0","female,group C,some high school,free/reduced,none,65.0,86.0,80.0",,,nan/nan
279,"male,group B,bachelor's degree,free/reduced,none,73.0,56.0,","male,group B,bachelor's degree,free/reduced,none,73.0,56.0,",,,nan/nan
280,"male,group D,high school,standard,none,53.0,52.0,42.0","male,group D,high school,standard,none,53.0,52.0,42.0",,,nan/nan
281,"male,group D,high school,standard,none,45.0,48.0,46.0","male,group D,high school,standard,none,45.0,48.0,46.0",,,nan/nan
282,"female,group D,bachelor's degree,free/reduced,none,73.0,79.0,84.0","female,group D,bachelor's degree,free/reduced,none,73.0,79.0,84.0",,,nan/nan
283,"female,group D,some college,free/reduced,completed,70.0,78.0,78.0","female,group D,some college,free/reduced,completed,70.0,78.0,78.0",,,nan/nan
284,"female,group B,some high school,standard,none,37.0,46.0,46.0","female,group B,some high school,standard,none,37.0,46.0,46.0",,,nan/nan
285,"male,group B,associate's degree,,completed,81.0,82.0,82.0","male,group B,associate's degree,,completed,81.0,82.0,82.0",,,nan/nan
286,"male,group E,associate's degree,standard,completed,97.0,82.0,88.0","male,group E,associate's degree,standard,completed,97.0,82.0,88.0",,,nan/nan
287,"female,group B,some high school,standard,none,67.0,89.0,82.0","female,group B,some high school,standard,none,67.0,89.0,82.0",,,nan/nan
288,"male,group B,,free/reduced,none,88.0,75.0,76.0","male,group B,,free/reduced,none,88.0,75.0,76.0",,,nan/nan
289,"male,group E,some high school,standard,,77.0,76.0,","male,group E,some high school,standard,,77.0,76.0,",,,nan/nan
290,"male,group C,associate's degree,standard,none,76.0,70.0,68.0","male,group C,associate's degree,standard,none,76.0,70.0,68.0",,,nan/nan
291,"male,group D,some high school,standard,none,86.0,,70.0","male,group D,some high school,standard,none,86.0,,70.0",,,nan/nan
292,"male,group C,some high school,standard,completed,63.0,60.0,57.0","male,group C,some high school,standard,completed,63.0,60.0,57.0",,,nan/nan
293,",group E,bachelor's degree,,none,65.0,73.0,75.0",",group E,bachelor's degree,,none,65.0,73.0,75.0",,,nan/nan
294,"male,group D,high school,free/reduced,completed,78.0,77.0,","male,group D,high school,free/reduced,completed,78.0,77.0,",,,nan/nan
295,"male,group B,associate's degree,free/reduced,none,67.0,62.0,60.0","male,group B,associate's degree,free/reduced,none,67.0,62.0,60.0",,,nan/nan
296,"male,group A,some high school,standard,completed,46.0,41.0,43.0","male,group A,some high school,standard,completed,46.0,41.0,43.0",,,nan/nan
297,"male,group E,associate's degree,standard,completed,71.0,74.0,68.0","male,group E,associate's degree,standard,completed,71.0,74.0,68.0",,,nan/nan
298,"male,group C,high school,free/reduced,completed,40.0,46.0,50.0","male,group C,high school,free/reduced,completed,40.0,46.0,50.0",,,nan/nan
299,"male,group D,associate's degree,free/reduced,,90.0,,75.0","male,group D,associate's degree,free/reduced,,90.0,,75.0",,,nan/nan
300,"male,group A,some college,free/reduced,completed,81.0,,81.0","male,group A,some college,free/reduced,completed,81.0,,81.0",,,nan/nan
301,",group D,some high school,free/reduced,none,56.0,54.0,52.0",",group D,some high school,free/reduced,none,56.0,54.0,52.0",,,nan/nan
302,"female,group C,associate's degree,standard,completed,67.0,84.0,","female,group C,associate's degree,standard,completed,67.0,84.0,",,,nan/nan
303,"male,group B,associate's degree,standard,none,80.0,76.0,64.0","male,group B,associate's degree,standard,none,80.0,76.0,64.0",,,nan/nan
304,"female,group C,associate's degree,standard,completed,74.0,75.0,83.0","female,group C,associate's degree,standard,completed,74.0,75.0,83.0",,,nan/nan
305,"male,group A,some college,standard,none,69.0,67.0,69.0","male,group A,some college,standard,none,69.0,67.0,69.0",,,nan/nan
306,"male,group E,some college,standard,completed,99.0,87.0,81.0","male,group E,some college,standard,completed,99.0,87.0,81.0",,,nan/nan
307,"male,group C,some high school,standard,,51.0,52.0,44.0","male,group C,some high school,standard,,51.0,52.0,44.0",,,nan/nan
308,"female,group B,associate's degree,free/reduced,none,53.0,71.0,67.0","female,group B,associate's degree,free/reduced,none,53.0,71.0,67.0",,,nan/nan
309,",group D,,free/reduced,none,49.0,57.0,52.0",",group D,,free/reduced,none,49.0,57.0,52.0",,,nan/nan
310,"female,group B,associate's degree,standard,none,73.0,76.0,80.0","female,group B,associate's degree,standard,none,73.0,76.0,80.0",,,nan/nan
311,"male,group B,bachelor's degree,standard,none,66.0,60.0,57.0","male,group B,bachelor's degree,standard,none,66.0,60.0,57.0",,,nan/nan
312,"male,group D,bachelor's degree,standard,completed,67.0,,68.0","male,group D,bachelor's degree,standard,completed,67.0,,68.0",,,nan/nan
313,"female,group C,associate's degree,free/reduced,completed,68.0,67.0,69.0","female,group C,associate's degree,free/reduced,completed,68.0,67.0,69.0",,,nan/nan
314,"female,group C,,standard,completed,59.0,64.0,75.0","female,group C,,standard,completed,59.0,64.0,75.0",,,nan/nan
315,"male,group C,high school,standard,none,71.0,66.0,65.0","male,group C,high school,standard,none,71.0,66.0,65.0",,,nan/nan
316,"female,group D,master's degree,standard,,77.0,82.0,91.0","female,group D,master's degree,standard,,77.0,82.0,91.0",,,nan/nan
317,"male,group C,associate's degree,standard,none,83.0,72.0,78.0","male,group C,associate's degree,standard,none,83.0,72.0,78.0",,,nan/nan
318,"male,,bachelor's degree,standard,none,63.0,71.0,69.0","male,,bachelor's degree,standard,none,63.0,71.0,69.0",,,nan/nan
319,"female,group D,associate's degree,free/reduced,none,56.0,65.0,","female,group D,associate's degree,free/reduced,none,56.0,65.0,",,,nan/nan
320,"female,group C,high school,free/reduced,completed,67.0,79.0,84.0","female,group C,high school,free/reduced,completed,67.0,79.0,84.0",,,nan/nan
321,"female,group E,high school,standard,none,75.0,86.0,79.0","female,group E,high school,standard,none,75.0,86.0,79.0",,,nan/nan
322,"female,,some college,standard,none,71.0,81.0,80.0","female,,some college,standard,none,71.0,81.0,80.0",,,nan/nan
323,"female,group C,some high school,free/reduced,none,,53.0,53.0","female,group C,some high school,free/reduced,none,,53.0,53.0",,,nan/nan
324,"female,group C,high school,free/reduced,none,41.0,46.0,43.0","female,group C,high school,free/reduced,none,41.0,46.0,43.0",,,nan/nan
325,"female,group C,some college,standard,none,82.0,90.0,94.0","female,group C,some college,standard,none,82.0,90.0,94.0",,,nan/nan
326,"male,group C,some college,standard,none,61.0,61.0,62.0","male,group C,some college,standard,none,61.0,61.0,62.0",,,nan/nan
327,"male,group A,some college,free/reduced,,28.0,23.0,19.0","male,group A,some college,free/reduced,,28.0,23.0,19.0",,,nan/nan
328,"male,,associate's degree,standard,completed,82.0,75.0,77.0","male,,associate's degree,standard,completed,82.0,75.0,77.0",,,nan/nan
329,"female,group B,some high school,standard,none,41.0,55.0,51.0","female,group B,some high school,standard,none,41.0,55.0,51.0",,,nan/nan
330,"male,group C,high school,,none,71.0,60.0,61.0","male,group C,high school,,none,71.0,60.0,61.0",,,nan/nan
331,"male,group C,associate's degree,standard,none,47.0,37.0,35.0","male,group C,associate's degree,standard,none,47.0,37.0,35.0",,,nan/nan
332,"male,group E,associate's degree,standard,completed,62.0,56.0,53.0","male,group E,associate's degree,standard,completed,62.0,56.0,53.0",,,nan/nan
333,",group B,associate's degree,standard,none,90.0,78.0,81.0",",group B,associate's degree,standard,none,90.0,78.0,81.0",,,nan/nan
334,"female,group C,bachelor's degree,standard,none,83.0,93.0,95.0","female,group C,bachelor's degree,standard,none,83.0,93.0,95.0",,,nan/nan
335,"female,group B,some college,,none,61.0,68.0,66.0","female,group B,some college,,none,61.0,68.0,66.0",,,nan/nan
336,"male,,some high school,standard,completed,76.0,,69.0","male,,some high school,standard,completed,76.0,,69.0",,,nan/nan
337,"male,group C,associate's degree,standard,none,49.0,51.0,43.0","male,group C,associate's degree,standard,none,49.0,51.0,43.0",,,nan/nan
338,",group B,some high school,free/reduced,none,24.0,,27.0",",group B,some high school,free/reduced,none,24.0,,27.0",,,nan/nan
339,"female,group D,some high school,free/reduced,completed,35.0,55.0,60.0","female,group D,some high school,free/reduced,completed,35.0,55.0,60.0",,,nan/nan
340,"male,group C,high school,free/reduced,none,58.0,61.0,52.0","male,group C,high school,free/reduced,none,58.0,61.0,52.0",,,nan/nan
341,"female,group C,high school,standard,none,61.0,73.0,63.0","female,group C,high school,standard,none,61.0,73.0,63.0",,,nan/nan
342,"female,group B,high school,standard,completed,69.0,76.0,74.0","female,group B,high school,standard,completed,69.0,76.0,74.0",,,nan/nan
343,"male,group D,associate's degree,standard,completed,67.0,72.0,67.0","male,group D,associate's degree,standard,completed,67.0,72.0,67.0",,,nan/nan
344,"male,group D,some college,standard,none,79.0,73.0,67.0","male,group D,some college,standard,none,79.0,73.0,67.0",,,nan/nan
345,"female,group C,high school,standard,none,72.0,80.0,75.0","female,group C,high school,standard,none,72.0,80.0,75.0",,,nan/nan
346,"male,group B,some college,standard,none,62.0,61.0,57.0","male,group B,some college,standard,none,62.0,61.0,57.0",,,nan/nan
347,"female,group C,bachelor's degree,standard,completed,77.0,94.0,95.0","female,group C,bachelor's degree,standard,completed,77.0,94.0,95.0",,,nan/nan
348,"male,group D,high school,free/reduced,,75.0,74.0,","male,group D,high school,free/reduced,,75.0,74.0,",,,nan/nan
349,",group E,associate's degree,standard,none,87.0,74.0,76.0",",group E,associate's degree,standard,none,87.0,74.0,76.0",,,nan/nan
350,"female,group B,bachelor's degree,standard,none,52.0,65.0,69.0","female,group B,bachelor's degree,standard,none,52.0,65.0,69.0",,,nan/nan
351,"male,group E,some college,standard,none,66.0,57.0,52.0","male,group E,some college,standard,none,66.0,57.0,52.0",,,nan/nan
352,"female,group C,some college,standard,completed,63.0,78.0,80.0","female,group C,some college,standard,completed,63.0,78.0,80.0",,,nan/nan
353,"female,group C,,standard,none,46.0,58.0,57.0","female,group C,,standard,none,46.0,58.0,57.0",,,nan/nan
354,"female,group C,some college,standard,,59.0,71.0,70.0","female,group C,some college,standard,,59.0,71.0,70.0",,,nan/nan
355,",group B,bachelor's degree,standard,none,61.0,72.0,70.0",",group B,bachelor's degree,standard,none,61.0,72.0,70.0",,,nan/nan
356,"male,group A,associate's degree,standard,none,63.0,61.0,61.0","male,group A,associate's degree,standard,none,63.0,61.0,61.0",,,nan/nan
357,"female,,some college,free/reduced,completed,42.0,66.0,69.0","female,,some college,free/reduced,completed,42.0,66.0,69.0",,,nan/nan
358,"male,group D,some college,free/reduced,none,59.0,62.0,61.0","male,group D,some college,free/reduced,none,59.0,62.0,61.0",,,nan/nan
359,"female,group D,some college,standard,none,80.0,90.0,89.0","female,group D,some college,standard,none,80.0,90.0,89.0",,,nan/nan
360,"female,group B,high school,standard,none,58.0,62.0,59.0","female,group B,high school,standard,none,58.0,62.0,59.0",,,nan/nan
361,"male,group B,some high school,standard,completed,85.0,84.0,78.0","male,group B,some high school,standard,completed,85.0,84.0,78.0",,,nan/nan
362,",group C,some college,standard,none,52.0,58.0,58.0",",group C,some college,standard,none,52.0,58.0,58.0",,,nan/nan
363,"female,group D,some high school,free/reduced,none,27.0,34.0,32.0","female,group D,some high school,free/reduced,none,27.0,34.0,32.0",,,nan/nan
364,"male,,some college,standard,none,59.0,60.0,58.0","male,,some college,standard,none,59.0,60.0,58.0",,,nan/nan
365,"male,group A,bachelor's degree,free/reduced,completed,49.0,58.0,60.0","male,group A,bachelor's degree,free/reduced,completed,49.0,58.0,60.0",,,nan/nan
366,"male,group C,high school,standard,completed,69.0,58.0,53.0","male,group C,high school,standard,completed,69.0,58.0,53.0",,,nan/nan
367,"male,group C,bachelor's degree,free/reduced,none,61.0,66.0,61.0","male,group C,bachelor's degree,free/reduced,none,61.0,66.0,61.0",,,nan/nan
368,"female,group A,some high school,free/reduced,none,44.0,64.0,58.0","female,group A,some high school,free/reduced,none,44.0,64.0,58.0",,,nan/nan
369,"female,group D,some high school,standard,none,73.0,84.0,85.0","female,group D,some high school,standard,none,73.0,84.0,85.0",,,nan/nan
370,"male,group E,some college,standard,none,84.0,77.0,71.0","male,group E,some college,standard,none,84.0,77.0,71.0",,,nan/nan
371,"female,group C,some college,free/reduced,completed,45.0,73.0,70.0","female,group C,some college,free/reduced,completed,45.0,73.0,70.0",,,nan/nan
372,"male,group D,some high school,standard,none,74.0,74.0,72.0","male,group D,some high school,standard,none,74.0,74.0,72.0",,,nan/nan
373,"female,group D,some college,standard,completed,82.0,97.0,","female,group D,some college,standard,completed,82.0,97.0,",,,nan/nan
374,"female,group D,bachelor's degree,standard,none,59.0,70.0,73.0","female,group D,bachelor's degree,standard,none,59.0,70.0,73.0",,,nan/nan
375,"male,group E,associate's degree,free/reduced,none,46.0,43.0,41.0","male,group E,associate's degree,free/reduced,none,46.0,43.0,41.0",,,nan/nan
376,"female,group D,some high school,standard,none,80.0,90.0,82.0","female,group D,some high school,standard,none,80.0,90.0,82.0",,,nan/nan
377,"female,group D,master's degree,free/reduced,completed,85.0,95.0,100.0","female,group D,master's degree,free/reduced,completed,85.0,95.0,100.0",,,nan/nan
378,"female,group A,some high school,standard,none,71.0,,77.0","female,group A,some high school,standard,none,71.0,,77.0",,,nan/nan
379,"male,group A,bachelor's degree,standard,none,66.0,64.0,62.0","male,group A,bachelor's degree,standard,none,66.0,64.0,62.0",,,nan/nan
380,"female,group B,associate's degree,standard,none,80.0,86.0,83.0","female,group B,associate's degree,standard,none,80.0,86.0,83.0",,,nan/nan
381,"male,group C,associate's degree,standard,completed,87.0,100.0,95.0","male,group C,associate's degree,standard,completed,87.0,100.0,95.0",,,nan/nan
382,"male,group C,master's degree,free/reduced,none,79.0,81.0,71.0","male,group C,master's degree,free/reduced,none,79.0,81.0,71.0",,,nan/nan
383,"female,group E,some high school,free/reduced,none,38.0,49.0,45.0","female,group E,some high school,free/reduced,none,38.0,49.0,45.0",,,nan/nan
384,"female,group A,,free/reduced,none,38.0,43.0,43.0","female,group A,,free/reduced,none,38.0,43.0,43.0",,,nan/nan
385,"female,group E,some college,standard,none,67.0,76.0,75.0","female,group E,some college,standard,none,67.0,76.0,75.0",,,nan/nan
386,"female,group E,bachelor's degree,standard,none,64.0,73.0,70.0","female,group E,bachelor's degree,standard,none,64.0,73.0,70.0",,,nan/nan
387,"female,group C,associate's degree,,none,57.0,78.0,67.0","female,group C,associate's degree,,none,57.0,78.0,67.0",,,nan/nan
388,"female,,high school,standard,none,62.0,64.0,64.0","female,,high school,standard,none,62.0,64.0,64.0",,,nan/nan
389,"male,group D,master's degree,standard,none,73.0,70.0,75.0","male,group D,master's degree,standard,none,73.0,70.0,75.0",,,nan/nan
390,"male,group E,some high school,free/reduced,completed,73.0,67.0,59.0","male,group E,some high school,free/reduced,completed,73.0,67.0,59.0",,,nan/nan
391,"female,group D,,standard,none,77.0,68.0,","female,group D,,standard,none,77.0,68.0,",,,nan/nan
392,"male,group E,some college,standard,none,76.0,67.0,67.0","male,group E,some college,standard,none,76.0,67.0,67.0",,,nan/nan
393,"male,group C,associate's degree,standard,completed,57.0,54.0,56.0","male,group C,associate's degree,standard,completed,57.0,54.0,56.0",,,nan/nan
394,"female,group C,some high school,standard,completed,65.0,74.0,77.0","female,group C,some high school,standard,completed,65.0,74.0,77.0",,,nan/nan
395,"male,group A,high school,free/reduced,none,48.0,45.0,41.0","male,group A,high school,free/reduced,none,48.0,45.0,41.0",,,nan/nan
396,"female,group B,high school,free/reduced,none,50.0,67.0,63.0","female,group B,high school,free/reduced,none,50.0,67.0,63.0",,,nan/nan
397,"female,group C,associate's degree,standard,none,85.0,89.0,95.0","female,group C,associate's degree,standard,none,85.0,89.0,95.0",,,nan/nan
398,"male,group B,some high school,standard,none,74.0,63.0,57.0","male,group B,some high school,standard,none,74.0,63.0,57.0",,,nan/nan
399,",group D,some high school,standard,none,60.0,59.0,54.0",",group D,some high school,standard,none,60.0,59.0,54.0",,,nan/nan
400,"female,group C,some high school,standard,completed,59.0,54.0,67.0","female,group C,some high school,standard,completed,59.0,54.0,67.0",,,nan/nan
401,"male,group A,some college,standard,none,53.0,43.0,43.0","male,group A,some college,standard,none,53.0,43.0,43.0",,,nan/nan
402,"female,group A,,free/reduced,none,49.0,65.0,55.0","female,group A,,free/reduced,none,49.0,65.0,55.0",,,nan/nan
403,"female,group D,high school,standard,completed,88.0,99.0,100.0","female,group D,high school,standard,completed,88.0,99.0,100.0",,,nan/nan
404,"female,group C,high school,standard,,54.0,59.0,62.0","female,group C,high school,standard,,54.0,59.0,62.0",,,nan/nan
405,"female,group C,some high school,standard,none,63.0,73.0,68.0","female,group C,some high school,standard,none,63.0,73.0,68.0",,,nan/nan
406,"male,group B,associate's degree,standard,completed,65.0,65.0,63.0","male,group B,associate's degree,standard,completed,65.0,65.0,63.0",,,nan/nan
407,"female,group B,associate's degree,standard,none,82.0,80.0,77.0","female,group B,associate's degree,standard,none,82.0,80.0,77.0",,,nan/nan
408,"female,group D,high school,free/reduced,completed,52.0,57.0,56.0","female,group D,high school,free/reduced,completed,52.0,57.0,56.0",,,nan/nan
409,"male,group D,associate's degree,standard,completed,87.0,84.0,85.0","male,group D,associate's degree,standard,completed,87.0,84.0,85.0",,,nan/nan
410,"female,group D,master's degree,standard,completed,70.0,,74.0","female,group D,master's degree,standard,completed,70.0,,74.0",,,nan/nan
411,"male,group E,some college,standard,completed,84.0,83.0,78.0","male,group E,some college,standard,completed,84.0,83.0,78.0",,,nan/nan
412,"male,,associate's degree,standard,none,71.0,66.0,60.0","male,,associate's degree,standard,none,71.0,66.0,60.0",,,nan/nan
413,"male,group B,some high school,standard,completed,63.0,67.0,67.0","male,group B,some high school,standard,completed,63.0,67.0,67.0",,,nan/nan
414,"female,group C,,free/reduced,completed,51.0,72.0,79.0","female,group C,,free/reduced,completed,51.0,72.0,79.0",,,nan/nan
415,"male,group E,high school,standard,none,84.0,,69.0","male,group E,high school,standard,none,84.0,,69.0",,,nan/nan
416,"male,group C,bachelor's degree,standard,completed,71.0,74.0,68.0","male,group C,bachelor's degree,standard,completed,71.0,74.0,68.0",,,nan/nan
417,"male,group C,associate's degree,standard,none,74.0,73.0,67.0","male,group C,associate's degree,standard,none,74.0,73.0,67.0",,,nan/nan
418,"male,group D,some college,standard,none,68.0,59.0,","male,group D,some college,standard,none,68.0,59.0,",,,nan/nan
419,"male,group E,high school,free/reduced,completed,57.0,56.0,54.0","male,group E,high school,free/reduced,completed,57.0,56.0,54.0",,,nan/nan
420,"female,group C,associate's degree,,completed,82.0,93.0,93.0","female,group C,associate's degree,,completed,82.0,93.0,93.0",,,nan/nan
421,"female,group D,high school,standard,completed,57.0,58.0,64.0","female,group D,high school,standard,completed,57.0,58.0,64.0",,,nan/nan
422,"female,group D,master's degree,free/reduced,completed,47.0,58.0,67.0","female,group D,master's degree,free/reduced,completed,47.0,58.0,67.0",,,nan/nan
423,"female,group A,some high school,standard,completed,59.0,85.0,80.0","female,group A,some high school,standard,completed,59.0,85.0,80.0",,,nan/nan
424,"male,group B,some college,free/reduced,none,41.0,39.0,34.0","male,group B,some college,free/reduced,none,41.0,39.0,34.0",,,nan/nan
425,"female,group C,some college,free/reduced,none,62.0,67.0,62.0","female,group C,some college,free/reduced,none,62.0,67.0,62.0",,,nan/nan
426,"male,group C,bachelor's degree,standard,none,86.0,83.0,86.0","male,group C,bachelor's degree,standard,none,86.0,83.0,86.0",,,nan/nan
